用例编号	验证用例子项
USER-05-0243	关注主播开播状态
USER-05-0245	审核处理时间可见性
USER-05-0249	审核页Banner展示
USER-05-0261	关注人数统计
USER-05-0262	粉丝人数统计
USER-02-0005	场次访问次数累计
USER-02-0006	场次访问次数累计
USER-02-0012	关注主播区可见性
USER-02-0019	密码房卡片可见性
USER-02-0020	粉丝专属房访问资格
USER-02-0103	签到进度触发条件
USER-02-0108	断签后奖励档位
USER-02-0110	断签后连续天数
USER-02-0113	任务奖励领取状态
USER-02-0115	任务档位领取独立性
USER-02-0117	领取失败状态保留
USER-02-0118	失败奖励重试领取
USER-02-0121	停用任务进度限制
USER-02-0127	周期任务进度
USER-02-0128	周期任务进度
USER-02-0129	周期任务进度
USER-02-0146	任务奖励重复领取限制
USER-02-0147	福利页面去向
USER-02-0148	成功邀请人数统计
USER-02-0149	邀请记录账号范围
USER-02-0151	邀请记录字段展示
USER-02-0152	邀请记录分页
USER-02-0155	系统分享唤起
USER-02-0156	邀请图片保存反馈
USER-02-0157	成功邀请计数条件
USER-02-0158	邀请分享面板关闭
USER-02-0159	邀请分享面板关闭
USER-02-0160	拉黑主播卡片过滤
USER-02-0161	拉黑账号搜索过滤
USER-06-0012	入会申请按钮状态
USER-06-0013	入会申请按钮状态
USER-06-0025	入会资料必填校验
USER-06-0026	入会资料必填校验
USER-06-0027	入会资料必填校验
USER-06-0028	入会资料必填校验
USER-06-0029	入会资料必填校验
USER-06-0030	上传照片文件类型
USER-06-0031	上传照片文件类型
USER-06-0032	上传照片文件类型
USER-06-0033	申请记录账号范围
USER-06-0035	同公会申请卡片合并
USER-06-0036	公会申请时间排序
USER-06-0039	审核节点自动流转
USER-06-0040	入会关系状态
USER-06-0049	申请资料收起状态
USER-06-0050	申请资料展开独立性
USER-06-0051	申请材料历史快照
USER-06-0052	空申请原因可见性
USER-06-0055	重复退会入口可见性
USER-06-0056	退会中公会关系保留
USER-06-0057	退会后公会关系解除
USER-06-0061	退会原因必填校验
USER-06-0062	退会原因必填校验
USER-06-0073	申请公会头像
USER-06-0074	申请公会名称
USER-06-0075	申请公会ID
USER-06-0079	申请提交时间
USER-06-0080	申请资料账号公会隔离
USER-06-0085	公会申请类型
USER-06-0088	退会申请主体
USER-08-0010	套餐限购资格
USER-08-0011	套餐限购资格
USER-08-0012	套餐限购资格
USER-08-0015	套餐支付发起
USER-08-0021	余额明细页面去向
USER-08-0028	同时间流水排序
USER-08-0031	退款冲正流水保留
USER-08-0066	历史消费记录保留
USER-04-0002	会话时间排序
USER-04-0003	同时间会话排序
USER-04-0009	私信未读计数清零
USER-04-0010	新消息会话摘要更新
USER-04-0013	粉丝群未读计数清零
USER-04-0017	通知已读状态
USER-04-0018	通知操作入口可见性
USER-04-0027	好友账号搜索结果
USER-04-0028	好友列表搜索恢复
USER-04-0029	好友搜索空态
USER-04-0034	关注与好友关系独立性
USER-04-0042	失效申请操作可见性
USER-04-0044	私信消息时间排序
USER-04-0045	同时间私信消息排序
USER-04-0046	私信发送条数限制
USER-04-0047	私信发送条数限制
USER-04-0050	双向私信限额独立性
USER-04-0053	失败消息重发
USER-04-0054	消息已读状态
USER-04-0055	解除好友后聊天清理
USER-04-0056	文本消息发送
USER-04-0057	拉黑后消息拒收
USER-04-0058	图片消息发送
USER-04-0059	拉黑后消息拒收
USER-04-0060	语音消息发送
USER-04-0061	拉黑后消息拒收
USER-04-0066	群消息时间排序
USER-04-0067	群消息发送资格
USER-04-0081	免打扰下消息接收
USER-04-0098	免打扰下消息接收
USER-04-0102	拉黑确认对象
USER-04-0108	删除好友确认弹窗
USER-04-0112	拉黑后社交入口可见性
USER-04-0120	运营账号入团入口
USER-04-0126	礼物目录排序
USER-04-0127	主播主页返回去向
USER-04-0131	举报说明长度上限
USER-04-0135	主页粉丝关注计数
USER-04-0146	好友财富等级展示
USER-04-0147	好友勋章展示
USER-04-0169	群免打扰设置独立性
USER-04-0170	举报处理通知正文
USER-04-0171	举报处理通知正文
USER-04-0172	举报处理通知正文
USER-04-0173	举报处理通知正文
USER-04-0174	举报处理通知正文
USER-04-0175	举报处理通知正文
USER-04-0176	举报警告通知正文
USER-04-0177	举报关播通知正文
USER-04-0201	群发言限制解除
USER-04-0207	主播关注人数统计
USER-04-0219	确认对象昵称
USER-04-0220	拉黑后果说明
USER-04-0221	确认对象昵称
USER-04-0222	拉黑后果说明
USER-04-0223	确认对象昵称
USER-04-0224	拉黑后果说明
USER-04-0225	关注主播开播通知
USER-04-0226	好友申请消息
USER-07-0030	房管人数上限
USER-07-0033	房管搜索对象过滤
USER-07-0034	房管搜索对象过滤
USER-07-0036	房管授权撤销
USER-07-0040	拉黑解除后房管授权
USER-07-0045	通知卡片内容展开
USER-07-0046	公会通知已读状态
USER-07-0056	普通房配置必填条件
USER-07-0058	密码房可选状态
USER-07-0060	门票档位单选
USER-07-0066	成员限制开关资格
USER-07-0070	美颜参数重置
USER-07-0109	群成员禁言状态
USER-07-0112	粉丝团成员移除
USER-07-0150	分成申请审批入口
USER-07-0151	主播中心返回去向
USER-07-0165	公会通知未读标记
USER-07-0169	粉丝团成员计数
USER-07-0170	粉丝团入团门槛
USER-07-0182	开播封面必填条件
USER-03-0004	举报说明长度上限
USER-03-0006	普通房准入方式
USER-03-0013	密码校验前直播遮挡
USER-03-0018	取消购票页面去向
USER-03-0031	取消密码校验页面去向
USER-03-0035	场次禁言发送限制
USER-03-0037	禁言下送礼资格
USER-03-0038	禁言下私信资格
USER-03-0039	解除禁言后公屏发送
USER-03-0040	新场次公屏发送资格
USER-03-0067	粉丝团成员容量上限
USER-03-0071	退团确认弹窗
USER-03-0077	直播系统分享唤起
USER-03-0084	运营账号定制礼物赠送
USER-03-0093	场次禁言状态
USER-03-0096	在线观众移除
USER-03-0103	在线停留时长排序
USER-03-0106	恢复发言确认弹窗
USER-03-0107	禁言记录移除
USER-03-0113	答谢消息发送内容
USER-03-0116	房间密码入口可用性
USER-03-0123	连麦主播ID搜索
USER-03-0124	连麦主播昵称搜索
USER-03-0125	连麦搜索状态恢复
USER-03-0129	连麦搜索对象过滤
USER-03-0130	连麦邀请发送状态
USER-03-0134	有效连麦邀请计数
USER-03-0135	连麦邀请提示合并
USER-03-0136	待处理连麦邀请列表
USER-03-0139	连麦连接建立
USER-03-0141	已发连麦邀请失效
USER-03-0142	其他收到邀请保留
USER-03-0143	场次结束邀请失效
USER-03-0145	直播分享卡片发送
USER-03-0149	连麦入口可见性
USER-03-0152	取消编辑后房间密码保留
USER-03-0157	修改密码后在线观看保持
USER-03-0162	连麦连接保持
USER-03-0163	连麦退出后直播状态
USER-03-0171	管理操作下连麦保持
USER-03-0172	转发操作下连麦保持
USER-03-0177	直播广场返回去向
USER-03-0180	累计观看人次
USER-03-0184	退会后直播结束
USER-03-0188	公屏消息排序
USER-03-0233	本人排名数值
USER-03-0234	未上榜排名占位
USER-03-0235	本人排名固定区域
USER-03-0307	巡房人员拉黑入口
USER-03-0309	恢复发言重复处理限制
USER-03-0310	旧场次禁言操作限制
USER-03-0323	运营账号密码房免验证
USER-03-0326	举报关播后场次状态
USER-03-0327	权限关闭后场次状态
USER-03-0329	连麦邀请取消状态
USER-03-0348	失效连麦邀请清理
USER-03-0351	逐件赠送记录
USER-03-0357	群禁言下公屏发送
USER-03-0363	快捷充值记录
USER-03-0398	连麦邀请状态展示
USER-03-0399	连麦邀请状态展示
USER-03-0400	连麦邀请状态展示
USER-03-0401	连麦邀请状态展示
USER-03-0402	连麦邀请状态展示
USER-03-0409	房间密码编辑入口
USER-03-0420	定制礼物有效期资格
